attribute_id,attribute_name,DisToAll,Chicken,Pizza,Burger,Salad,Pasta,Sushi,Steak,Tacos,Soup,Sandwich,Fries,Hotdog,Curry,Rice,Fish,Cake
3320,torey,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3321,procuress,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3322,kahili,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3323,tune-up,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3324,stressed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3325,vending,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3326,toiler,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3327,handsaw,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3328,quilico,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3329,toupée,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3330,echis,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3331,low-calorie,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3332,fornicate,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3333,burgling,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3334,londis,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3335,bits,1.41421,0,0,0,0,0,0,0,0,0.707107,0,0,0,0,0,0,0.707107
3336,fubar,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3337,cosmopolite,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3338,posole,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3339,dotterels,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3340,ice-cream,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3341,plucker,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3342,scallop,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3343,return,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3344,abbott,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3345,half-empty,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
